x-axis,1
second,Volt
+356.2E-12,-5.2079836998747E+00
+512.5E-12,-4.9754208882952E+00
+668.7E-12,-4.7406470214629E+00
+825.0E-12,-4.5108982802050E+00
+981.2E-12,-4.2861746645214E+00
+1.1375E-09,-4.0692902447337E+00
+1.2937E-09,-3.8674812016689E+00
+1.4500E-09,-3.6779334650056E+00
+1.6062E-09,-3.4976319593989E+00
+1.7625E-09,-3.3346168857680E+00
+1.9187E-09,-3.1830590984465E+00
+2.0750E-09,-3.0465766878479E+00
+2.2312E-09,-2.9237626188115E+00
+2.3875E-09,-2.8095917657629E+00
+2.5437E-09,-2.7004460382887E+00
+2.7000E-09,-2.5963254363888E+00
+2.8562E-09,-2.4972299600632E+00
+3.0125E-09,-2.4031596093119E+00
+3.1687E-09,-2.3113003138133E+00
+3.3250E-09,-2.2158229279012E+00
+3.4812E-09,-2.1203455419891E+00
+3.6375E-09,-2.0234611209162E+00
+3.7937E-09,-1.9229586094298E+00
+3.9500E-09,-1.8224560979434E+00
+4.1062E-09,-1.7191395161354E+00
+4.2625E-09,-1.6085867535003E+00
+4.4187E-09,-1.4980339908653E+00
+4.5750E-09,-1.3874812282302E+00
+4.7312E-09,-1.2755214304344E+00
+4.8875E-09,-1.1613505773858E+00
+5.0437E-09,-1.0507978147508E+00
+5.2000E-09,-941.6520872765E-03
+5.3562E-09,-836.1244502158E-03
+5.5125E-09,-733.4108834767E-03
+5.6687E-09,-639.3405327254E-03
+5.8250E-09,-551.7023427092E-03
+5.9812E-09,-472.7073686809E-03
+6.1375E-09,-400.1445553877E-03
+6.2937E-09,-337.6319932432E-03
+6.4500E-09,-285.1696822472E-03
+6.6062E-09,-242.7576224000E-03
+6.7625E-09,-208.9887785405E-03
+6.9187E-09,-181.6520954162E-03
+7.0750E-09,-164.3656634406E-03
+7.2312E-09,-154.3154122919E-03
+7.3875E-09,-147.0792314649E-03
+7.5437E-09,-148.4862666257E-03
+7.7000E-09,-153.5113922000E-03
+7.8562E-09,-158.5365177743E-03
+8.0125E-09,-164.9686785095E-03
+8.1687E-09,-175.0189296581E-03
+8.3250E-09,-185.0691808067E-03
+8.4812E-09,-195.1194319554E-03
+8.6375E-09,-205.1696831040E-03
+8.7937E-09,-215.2199342527E-03
+8.9500E-09,-225.2701854013E-03
+9.1062E-09,-232.5063662283E-03
+9.2625E-09,-232.5063662283E-03
+9.4187E-09,-232.5063662283E-03
+9.5750E-09,-229.6922959067E-03
+9.7312E-09,-219.6420447581E-03
+9.8875E-09,-208.1847584486E-03
+10.0437E-09,-193.1093817257E-03
+10.2000E-09,-178.0340050027E-03
+10.3562E-09,-162.9586282797E-03
+10.5125E-09,-147.8832515568E-03
+10.6687E-09,-134.2149099946E-03
+10.8250E-09,-122.7576236852E-03
+10.9812E-09,-109.0892821230E-03
+11.1375E-09,-100.4460661352E-03
+11.2937E-09,-95.4209405609E-03
+11.4500E-09,-88.9887798257E-03
+11.6062E-09,-81.7525989987E-03
+11.7625E-09,-80.3455638379E-03
+11.9187E-09,-76.7274734244E-03
+12.0750E-09,-78.1345085852E-03
+12.2312E-09,-81.7525989987E-03
+12.3875E-09,-81.7525989987E-03
+12.5437E-09,-81.7525989987E-03
+12.7000E-09,-83.1596341595E-03
+12.8562E-09,-86.7777245730E-03
+13.0125E-09,-86.7777245730E-03
+13.1687E-09,-86.7777245730E-03
+13.3250E-09,-86.7777245730E-03
+13.4812E-09,-86.7777245730E-03
+13.6375E-09,-86.7777245730E-03
+13.7937E-09,-86.7777245730E-03
+13.9500E-09,-86.7777245730E-03
+14.1062E-09,-86.7777245730E-03
+14.2625E-09,-86.7777245730E-03
+14.4187E-09,-86.7777245730E-03
+14.5750E-09,-86.7777245730E-03
+14.7312E-09,-86.7777245730E-03
+14.8875E-09,-86.7777245730E-03
+15.0437E-09,-86.7777245730E-03
+15.2000E-09,-85.3706894122E-03
+15.3562E-09,-81.7525989987E-03
+15.5125E-09,-80.3455638379E-03
+15.6687E-09,-76.7274734244E-03
+15.8250E-09,-73.9134031028E-03
+15.9812E-09,-65.2701871149E-03
+16.1375E-09,-61.6520967014E-03
+16.2937E-09,-60.2450615406E-03
+16.4500E-09,-56.6269711271E-03
+16.6062E-09,-56.6269711271E-03
+16.7625E-09,-58.0340062879E-03
+16.9187E-09,-61.6520967014E-03
+17.0750E-09,-64.4661670231E-03
+17.2312E-09,-73.1093830109E-03
+17.3875E-09,-76.7274734244E-03
+17.5437E-09,-78.1345085852E-03
+17.7000E-09,-83.1596341595E-03
+17.8562E-09,-86.7777245730E-03
+18.0125E-09,-86.7777245730E-03
+18.1687E-09,-86.7777245730E-03
+18.3250E-09,-86.7777245730E-03
+18.4812E-09,-86.7777245730E-03
+18.6375E-09,-86.7777245730E-03
+18.7937E-09,-86.7777245730E-03
+18.9500E-09,-86.7777245730E-03
+19.1062E-09,-86.7777245730E-03
+19.2625E-09,-86.7777245730E-03
+19.4187E-09,-86.7777245730E-03
+19.5750E-09,-86.7777245730E-03
+19.7312E-09,-86.7777245730E-03
+19.8875E-09,-86.7777245730E-03
+20.0437E-09,-86.7777245730E-03
+20.2000E-09,-85.3706894122E-03
+20.3562E-09,-81.7525989987E-03
+20.5125E-09,-81.7525989987E-03
+20.6687E-09,-81.7525989987E-03
+20.8250E-09,-81.7525989987E-03
+20.9812E-09,-81.7525989987E-03
+21.1375E-09,-81.7525989987E-03
+21.2937E-09,-83.1596341595E-03
+21.4500E-09,-88.1847597338E-03
+21.6062E-09,-93.2098853082E-03
+21.7625E-09,-98.2350108825E-03
+21.9187E-09,-103.2601364568E-03
+22.0750E-09,-111.0993323527E-03
+22.2312E-09,-124.7676739149E-03
+22.3875E-09,-134.8179250635E-03
+22.5437E-09,-144.8681762122E-03
+22.7000E-09,-154.9184273608E-03
+22.8562E-09,-163.5616433487E-03
+23.0125E-09,-168.5867689230E-03
+23.1687E-09,-172.2048593365E-03
+23.3250E-09,-172.2048593365E-03
+23.4812E-09,-170.7978241757E-03
+23.6375E-09,-165.7726986014E-03
+23.7937E-09,-160.7475730270E-03
+23.9500E-09,-154.3154122919E-03
+24.1062E-09,-144.2651611433E-03
+24.2625E-09,-134.2149099946E-03
+24.4187E-09,-124.1646588460E-03
+24.5750E-09,-114.1144076974E-03
+24.7312E-09,-104.0641565487E-03
+24.8875E-09,-94.0139054001E-03
+25.0437E-09,-83.9636542514E-03
+25.2000E-09,-73.9134031028E-03
+25.3562E-09,-65.2701871150E-03
+25.5125E-09,-60.2450615406E-03
+25.6687E-09,-53.8129008055E-03
+25.8250E-09,-43.7626496569E-03
+25.9812E-09,-33.7123985082E-03
+26.1375E-09,-25.0691825204E-03
+26.2937E-09,-20.0440569461E-03
+26.4500E-09,-13.6118962109E-03
+26.6062E-09,-6.3757153839E-03
+26.7625E-09,-4.9686802231E-03
+26.9187E-09,-1.3505898096E-03
+27.0750E-09,+56.4453512E-06
+27.2312E-09,+3.6745357647E-03
+27.3875E-09,+3.6745357647E-03
+27.5437E-09,+2.2675006039E-03
+27.7000E-09,-2.7576249704E-03
+27.8562E-09,-6.3757153839E-03
+28.0125E-09,-7.7827505447E-03
+28.1687E-09,-12.8078761190E-03
+28.3250E-09,-19.2400368542E-03
+28.4812E-09,-27.8832528420E-03
+28.6375E-09,-34.3154135771E-03
+28.7937E-09,-44.3656647258E-03
+28.9500E-09,-55.8229510352E-03
+29.1062E-09,-68.0842574366E-03
+29.2625E-09,-73.1093830109E-03
+29.4187E-09,-79.5415437460E-03
+29.5750E-09,-88.1847597338E-03
+29.7312E-09,-93.2098853082E-03
